판매 구분,Brand,Corporation,Channel,Order Type,Reference No,Tracking No,Order No,Order Date,Order Time,Status,Claim Reason,SKU Code,Product Name,SAP Code,SAP Name,Product Category,Pre Order,88Code,결제 방식,통화,QTY,Price,Subtotal,Discount Price,Tax,Total Price,Recipient Country,Recipient City,Recipient Address,Recipient Name,Orderer Email,Orderer Phone,Collected Date,Collected Time,Canceled Date,Canceled Time,Picking Requested Date,Picking Requested Time,Shipped Date,Shipped Time,Delivered Date,Delivered Time,Pickup Requested Date,Pickup Requested Time,Refunded Date,Refunded Time
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26031903CTZ0VSYY,2026-03-19,01:21 PM (KST),CANCELED,,S17000035,닷 스푼 블랙,17000035,닷 스푼 블랙,CUTLERY,X,8809907775651,KAKAO_PAY,KRW,1,21000.0,24000.0,0,2182.0,21000.0,KR,"의정부시, 경기도 금오동","11752 경기도 의정부시 부용로 87 (금오동, 현대아이파크아파트), 108동 801호",오주은,bighamster27@naver.com,01087275844,2026-03-19,01:21 PM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26031903CKV0YSB1,2026-03-19,01:20 PM (KST),CANCELED,,S17000034,닷 스푼,17000034,닷 스푼,CUTLERY,X,8809907775644,KAKAO_PAY,KRW,1,21000.0,24000.0,0,2182.0,21000.0,KR,"의정부시, 경기도 금오동","11752 경기도 의정부시 부용로 87 (금오동, 현대아이파크아파트), 108동 801호",오주은,bighamster27@naver.com,01087275844,2026-03-19,01:20 PM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF260310022NN0B632,2026-03-10,11:41 AM (KST),CANCELED,,S17000004,벌룬 스푼,17000004,벌룬 스푼,CUTLERY,X,8809907775330,KAKAO_PAY,KRW,1,15000.0,18000.0,0,1636.0,15000.0,KR,"의정부시, 경기도 금오동","11752 경기도 의정부시 부용로 87 (금오동, 현대아이파크아파트), 108동",육주은,fogbow.juni@gmail.com,01087275844,2026-03-10,11:41 AM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26031001CNX03B2P,2026-03-10,10:45 AM (KST),CANCELED,,S17000073,QA,17000073,QA,CUTLERY,X,8809907776184,KAKAO_PAY,KRW,1,24000.0,27000.0,0,2455.0,24000.0,KR,"광진구, 서울특별시 자양동","05081 서울특별시 광진구 뚝섬로 460 (자양동), 1",권수지,wnstnwl@naver.com,01043300516,2026-03-10,10:45 AM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26030604R470FQ9E,2026-03-06,03:13 PM (KST),CANCELED,,S17000087,웨이브 트레이,17000087,웨이브 트레이,TABLE ACCESSORIES,X,8809907776320,KAKAO_PAY,KRW,1,59000.0,59000.0,0,5364.0,59000.0,KR,"의정부시, 경기도 금오동","11752 경기도 의정부시 부용로 87 (금오동, 현대아이파크아파트), 108동801호",오주은,bighamster27@naver.com,01087275844,2026-03-06,03:14 PM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26030400UDG0ETDG,2026-03-04,10:06 AM (KST),CANCELED,,S17000073,QA,17000073,QA,CUTLERY,X,8809907776184,CREDIT_CARD,KRW,1,24000.0,27000.0,0,2455.0,24000.0,KR,"광진구, 서울특별시 자양동","05081 서울특별시 광진구 뚝섬로 460 (자양동), 1",권수지,wnstnwl@naver.com,01043300516,2026-03-04,10:06 AM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26030305TW00L9CA,2026-03-03,04:33 PM (KST),CANCELED,,S17000098,프리오더 얼럿,17000098,프리오더 얼럿,CUTLERY,X,8809907775903,CREDIT_CARD,KRW,1,23000.0,26000.0,0,2364.0,23000.0,KR,"성동구, 서울특별시 성수동2가","04785 서울특별시 성동구 뚝섬로 433 (성수동2가), 1",옥원철,monster1199@gentlemonster.com,01093960936,2026-03-03,04:33 PM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26030305JAZ0D7ZD,2026-03-03,04:10 PM (KST),CANCELED,,S18000037,웨이브 나이프,18000037,웨이브 나이프,CUTLERY,X,,CREDIT_CARD,KRW,1,10000.0,13000.0,0,1182.0,10000.0,KR,"성동구, 서울특별시 성수동2가","04785 서울특별시 성동구 뚝섬로 433 (성수동2가), 1",옥원철,monster1199@gentlemonster.com,01093960936,2026-03-03,04:10 PM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26030305INY0ZTV4,2026-03-03,04:09 PM (KST),CANCELED,,S17000054,가격 정보 없는 경우 1,17000054,가격 정보 없는 경우 1,CUTLERY,X,8809907775996,CREDIT_CARD,KRW,1,17000.0,20000.0,0,1818.0,17000.0,KR,"성동구, 서울특별시 성수동2가","04785 서울특별시 성동구 뚝섬로 433 (성수동2가), 1",옥원철,monster1199@gentlemonster.com,01093960936,2026-03-03,04:09 PM (KST),,,,,,,,,,,,
ORDER,NUFLAAT,KR,NUF_Official_KR,NORMAL,,,NF26030305FR80COMT,2026-03-03,04:02 PM (KST),CANCELED,,S17000098,프리오더 얼럿,17000098,프리오더 얼럿,CUTLERY,X,8809907775903,CREDIT_CARD,KRW,1,23000.0,26000.0,0,2364.0,23000.0,KR,"성동구, 서울특별시 성수동2가","04785 서울특별시 성동구 뚝섬로 433 (성수동2가), 1",옥원철,monster1199@gentlemonster.com,01093960936,2026-03-03,04:03 PM (KST),,,,,,,,,,,,
